OrderID,OrderDate,Product,Category,Quantity,Price,Region
1001,2024-01-05,Laptop,Electronics,2,50000,North
1002,2024-01-10,Mobile,Electronics,5,20000,South
1003,2024-02-15,Headphones,Accessories,10,1500,East
1004,2024-02-20,Keyboard,Accessories,7,1200,West
1005,2024-03-05,Laptop,Electronics,1,50000,North
1006,2024-03-18,Mobile,Electronics,3,20000,East
1007,2024-04-10,Monitor,Electronics,4,15000,South
1008,2024-04-22,Mouse,Accessories,12,800,West
1009,2024-05-02,Laptop,Electronics,2,50000,North
1010,2024-05-15,Mobile,Electronics,6,20000,South
